03/12 21:16:25 - OpenCompass - [4m[97mINFO[0m - Task [baichuan_qwen/creationv2_zh_1]
03/12 21:16:25 - OpenCompass - [4m[97mINFO[0m - time elapsed: 42.66s
srun: job 3471887 queued and waiting for resources
srun: job 3471887 has been allocated resources
srun: Job 3471887 scheduled successfully!
Current QUOTA_TYPE is [spot], which means the job has occupied quota in SPOT_TOTAL under your partition.
[NOTE]: This job MAY BE PREEMPTED by other jobs of reserved QUOTA_TYPE.
[NOTE]: phx_priority has NO effect on job of spot quota type.

/mnt/petrelfs/caomaosong/miniconda3/envs/opencompass/lib/python3.10/site-packages/transformers/utils/hub.py:124: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- tokenization_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- configuration_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.
A new version of the following files was downloaded from https://huggingface.co/THUDM/chatglm3-6b:
- modeling_chatglm.py
. Make sure to double-check they do not contain any added malicious code. To avoid downloading new versions of the code file, you can pin a revision.

Downloading shards:   0%|          | 0/7 [00:00<?, ?it/s]
Downloading shards: 100%|██████████| 7/7 [00:00<00:00, 675.71it/s]

Loading checkpoint shards:   0%|          | 0/7 [00:00<?, ?it/s]
Loading checkpoint shards:  14%|█▍        | 1/7 [00:01<00:07,  1.17s/it]
Loading checkpoint shards:  29%|██▊       | 2/7 [00:02<00:06,  1.21s/it]
Loading checkpoint shards:  43%|████▎     | 3/7 [00:03<00:04,  1.20s/it]
Loading checkpoint shards:  57%|█████▋    | 4/7 [00:04<00:03,  1.18s/it]
Loading checkpoint shards:  71%|███████▏  | 5/7 [00:05<00:02,  1.20s/it]
Loading checkpoint shards:  86%|████████▌ | 6/7 [00:07<00:01,  1.20s/it]
Loading checkpoint shards: 100%|██████████| 7/7 [00:07<00:00,  1.04s/it]
Loading checkpoint shards: 100%|██████████| 7/7 [00:07<00:00,  1.13s/it]
[2024-03-12 21:15:55,344] [opencompass.openicl.icl_inferencer.icl_gen_inferencer] [INFO] Starting inference process...

  0%|          | 0/15 [00:00<?, ?it/s]Both `max_new_tokens` (=2048) and `max_length`(=8192) seem to have been set. `max_new_tokens` will take precedence. Please refer to the documentation for more information. (https://huggingface.co/docs/transformers/main/en/main_classes/text_generation)

